variant,group,count,event_base_confirms,event_confidence,box_confidence,h4_method_agreement,h4_transition_risk,reward_to_cost_ratio,reentry_strength,box_width_pct,good_mid_before_stop,good_opp_before_stop,mfe_2,mae_2,mfe_4,mae_4
baseline_master_current,executed_trade,96,2.8333333333333335,0.6373466968785703,0.9076762036896371,0.8055555555555557,0.058270157890554376,3.5193710033419947,0.4624310707930183,0.018853086789617717,0.5416666666666666,0.4895833333333333,0.006051824111133174,0.004722597333709924,0.007371361164087383,0.006497659834210898
baseline_master_current,risk_dropped,61,2.6721311475409837,0.6412371767133518,0.945390725054491,0.7540983606557375,0.0659647522900202,1.7608581512319081,0.674241612562912,0.015461433055354502,0.47540983606557374,0.4426229508196721,0.004081555554334239,0.006275377372849841,0.005427555297100156,0.007521426415025656
baseline_master_current,execution_missed,126,2.1666666666666665,0.4841682088607516,0.8801863959328581,0.7883597883597885,0.05563870395259438,4.739789805365565,0.3582516380650397,0.021520681309279296,0.4603174603174603,0.30952380952380953,0.004592926227758194,0.005447733013403377,0.006294648160548584,0.007336262397698236
baseline_master_current,confirm_missed,129,0.9612403100775194,0.0,0.87536352855387,0.8062015503875969,0.05582965743300574,,0.09677911199549037,0.02243358508581675,0.4263565891472868,0.3178294573643411,0.005794434065646707,0.005207368556388377,0.007607022095521286,0.007451308858659397
baseline_master_current,event_missed,2821,0.0,0.0,0.884326608551285,0.7981803143093466,0.0559197346587827,,0.0,0.027321470449514124,0.24140375753278978,0.1584544487770294,0.005256916062270595,0.006568123711169309,0.007238755184053148,0.008980302641477856
baseline_master_current,missed_good_mid,823,0.3183475091130012,0.05755058540782043,0.8930399944679593,0.7565816119886595,0.058796652665224845,4.103472181758739,0.05442519895655442,0.023220233781229765,1.0,0.6731470230862697,0.007240459919578573,0.0035631987963117475,0.01130857480877398,0.004239430328793064
variant_capture_audit_only,executed_trade,96,2.8333333333333335,0.6373466968785703,0.9076762036896371,0.8055555555555557,0.058270157890554376,3.5193710033419947,0.4624310707930183,0.018853086789617717,0.5416666666666666,0.4895833333333333,0.006051824111133174,0.004722597333709924,0.007371361164087383,0.006497659834210898
variant_capture_audit_only,risk_dropped,61,2.6721311475409837,0.6412371767133518,0.945390725054491,0.7540983606557375,0.0659647522900202,1.7608581512319081,0.674241612562912,0.015461433055354502,0.47540983606557374,0.4426229508196721,0.004081555554334239,0.006275377372849841,0.005427555297100156,0.007521426415025656
variant_capture_audit_only,execution_missed,126,2.1666666666666665,0.4841682088607516,0.8801863959328581,0.7883597883597885,0.05563870395259438,4.739789805365565,0.3582516380650397,0.021520681309279296,0.4603174603174603,0.30952380952380953,0.004592926227758194,0.005447733013403377,0.006294648160548584,0.007336262397698236
variant_capture_audit_only,confirm_missed,129,0.9612403100775194,0.0,0.87536352855387,0.8062015503875969,0.05582965743300574,,0.09677911199549037,0.02243358508581675,0.4263565891472868,0.3178294573643411,0.005794434065646707,0.005207368556388377,0.007607022095521286,0.007451308858659397
variant_capture_audit_only,event_missed,2821,0.0,0.0,0.884326608551285,0.7981803143093466,0.0559197346587827,,0.0,0.027321470449514124,0.24140375753278978,0.1584544487770294,0.005256916062270595,0.006568123711169309,0.007238755184053148,0.008980302641477856
variant_capture_audit_only,missed_good_mid,823,0.3183475091130012,0.05755058540782043,0.8930399944679593,0.7565816119886595,0.058796652665224845,4.103472181758739,0.05442519895655442,0.023220233781229765,1.0,0.6731470230862697,0.007240459919578573,0.0035631987963117475,0.01130857480877398,0.004239430328793064
variant_near_miss_recovery_1,executed_trade,102,2.735294117647059,0.6129790939692802,0.9018240227700905,0.8039215686274511,0.05869428716616367,3.6782412438221788,0.45763110471963186,0.019667370044544285,0.5588235294117647,0.49019607843137253,0.005989264215995959,0.00450638312298516,0.007320980074149793,0.0058081641233900735
variant_near_miss_recovery_1,risk_dropped,73,2.6164383561643834,0.6175947674800027,0.9294714097847627,0.7579908675799087,0.06483368007369442,2.211460006991935,0.6224900042937886,0.01660480573771783,0.4794520547945205,0.4246575342465753,0.0041729900337018405,0.006602535102359494,0.00568537199345668,0.008178656879399856
variant_near_miss_recovery_1,execution_missed,108,2.2037037037037037,0.4972005498648624,0.8877015966040027,0.7901234567901235,0.05470912786002739,4.683965663349682,0.3568674496649386,0.020800250275483316,0.4351851851851852,0.2962962962962963,0.004565976719341514,0.005379125763445269,0.0062044915742500316,0.0075692289326741834
variant_near_miss_recovery_1,confirm_missed,129,0.9612403100775194,0.0,0.87536352855387,0.8062015503875969,0.05582965743300574,,0.09677911199549037,0.02243358508581675,0.4263565891472868,0.3178294573643411,0.005794434065646707,0.005207368556388377,0.007607022095521286,0.007451308858659397
variant_near_miss_recovery_1,event_missed,2821,0.0,0.0,0.884326608551285,0.7981803143093466,0.0559197346587827,,0.0,0.027321470449514124,0.24140375753278978,0.1584544487770294,0.005256916062270595,0.006568123711169309,0.007238755184053148,0.008980302641477856
variant_near_miss_recovery_1,missed_good_mid,818,0.3092909535452323,0.05551631333052697,0.8932159310758485,0.7559087204563977,0.05874384304672616,4.073437274365563,0.05243783431931427,0.023218910431450284,1.0,0.6735941320293398,0.007243071844257977,0.0035528919915751387,0.011324072129583999,0.004230009387813522
variant_near_miss_recovery_2,executed_trade,96,2.8333333333333335,0.6373466968785703,0.9076762036896371,0.8055555555555557,0.058270157890554376,3.5193710033419947,0.4624310707930183,0.018853086789617717,0.5416666666666666,0.4895833333333333,0.006051824111133174,0.004722597333709924,0.007371361164087383,0.006497659834210898
variant_near_miss_recovery_2,risk_dropped,61,2.6721311475409837,0.6412371767133518,0.945390725054491,0.7540983606557375,0.0659647522900202,1.7608581512319081,0.674241612562912,0.015461433055354502,0.47540983606557374,0.4426229508196721,0.004081555554334239,0.006275377372849841,0.005427555297100156,0.007521426415025656
variant_near_miss_recovery_2,execution_missed,126,2.1666666666666665,0.4841682088607516,0.8801863959328581,0.7883597883597885,0.05563870395259438,4.739789805365565,0.3582516380650397,0.021520681309279296,0.4603174603174603,0.30952380952380953,0.004592926227758194,0.005447733013403377,0.006294648160548584,0.007336262397698236
variant_near_miss_recovery_2,confirm_missed,129,0.9612403100775194,0.0,0.87536352855387,0.8062015503875969,0.05582965743300574,6.318947961416358,0.11503818255025142,0.02243358508581675,0.4263565891472868,0.3178294573643411,0.005794434065646707,0.005207368556388377,0.007607022095521286,0.007451308858659397
variant_near_miss_recovery_2,event_missed,2821,0.0,0.0,0.884326608551285,0.7981803143093466,0.0559197346587827,,0.0,0.027321470449514124,0.24140375753278978,0.1584544487770294,0.005256916062270595,0.006568123711169309,0.007238755184053148,0.008980302641477856
variant_near_miss_recovery_2,missed_good_mid,823,0.3183475091130012,0.05755058540782043,0.8930399944679593,0.7565816119886595,0.058796652665224845,4.849220409185861,0.057287191789560855,0.023220233781229765,1.0,0.6731470230862697,0.007240459919578573,0.0035631987963117475,0.01130857480877398,0.004239430328793064
variant_soft_confirm_strong_context,executed_trade,96,2.8333333333333335,0.6373466968785703,0.9076762036896371,0.8055555555555557,0.058270157890554376,3.5193710033419947,0.4624310707930183,0.018853086789617717,0.5416666666666666,0.4895833333333333,0.006051824111133174,0.004722597333709924,0.007371361164087383,0.006497659834210898
variant_soft_confirm_strong_context,risk_dropped,61,2.6721311475409837,0.6412371767133518,0.945390725054491,0.7540983606557375,0.0659647522900202,1.7608581512319081,0.674241612562912,0.015461433055354502,0.47540983606557374,0.4426229508196721,0.004081555554334239,0.006275377372849841,0.005427555297100156,0.007521426415025656
variant_soft_confirm_strong_context,execution_missed,126,2.1666666666666665,0.4841682088607516,0.8801863959328581,0.7883597883597885,0.05563870395259438,4.739789805365565,0.3582516380650397,0.021520681309279296,0.4603174603174603,0.30952380952380953,0.004592926227758194,0.005447733013403377,0.006294648160548584,0.007336262397698236
variant_soft_confirm_strong_context,confirm_missed,129,0.9612403100775194,0.0,0.87536352855387,0.8062015503875969,0.05582965743300574,6.318947961416358,0.11503818255025142,0.02243358508581675,0.4263565891472868,0.3178294573643411,0.005794434065646707,0.005207368556388377,0.007607022095521286,0.007451308858659397
variant_soft_confirm_strong_context,event_missed,2821,0.0,0.0,0.884326608551285,0.7981803143093466,0.0559197346587827,,0.0,0.027321470449514124,0.24140375753278978,0.1584544487770294,0.005256916062270595,0.006568123711169309,0.007238755184053148,0.008980302641477856
variant_soft_confirm_strong_context,missed_good_mid,823,0.3183475091130012,0.05755058540782043,0.8930399944679593,0.7565816119886595,0.058796652665224845,4.849220409185861,0.057287191789560855,0.023220233781229765,1.0,0.6731470230862697,0.007240459919578573,0.0035631987963117475,0.01130857480877398,0.004239430328793064
variant_best_effort_capture_recovery,executed_trade,102,2.735294117647059,0.6129790939692802,0.9018240227700905,0.8039215686274511,0.05869428716616367,3.6782412438221788,0.45763110471963186,0.019667370044544285,0.5588235294117647,0.49019607843137253,0.005989264215995959,0.00450638312298516,0.007320980074149793,0.0058081641233900735
variant_best_effort_capture_recovery,risk_dropped,73,2.6164383561643834,0.6175947674800027,0.9294714097847627,0.7579908675799087,0.06483368007369442,2.211460006991935,0.6224900042937886,0.01660480573771783,0.4794520547945205,0.4246575342465753,0.0041729900337018405,0.006602535102359494,0.00568537199345668,0.008178656879399856
variant_best_effort_capture_recovery,execution_missed,108,2.2037037037037037,0.4972005498648624,0.8877015966040027,0.7901234567901235,0.05470912786002739,4.683965663349682,0.3568674496649386,0.020800250275483316,0.4351851851851852,0.2962962962962963,0.004565976719341514,0.005379125763445269,0.0062044915742500316,0.0075692289326741834
variant_best_effort_capture_recovery,confirm_missed,129,0.9612403100775194,0.0,0.87536352855387,0.8062015503875969,0.05582965743300574,6.318947961416358,0.11503818255025142,0.02243358508581675,0.4263565891472868,0.3178294573643411,0.005794434065646707,0.005207368556388377,0.007607022095521286,0.007451308858659397
variant_best_effort_capture_recovery,event_missed,2821,0.0,0.0,0.884326608551285,0.7981803143093466,0.0559197346587827,,0.0,0.027321470449514124,0.24140375753278978,0.1584544487770294,0.005256916062270595,0.006568123711169309,0.007238755184053148,0.008980302641477856
variant_best_effort_capture_recovery,missed_good_mid,818,0.3092909535452323,0.05551631333052697,0.8932159310758485,0.7559087204563977,0.05874384304672616,4.858667265386572,0.05531732099604325,0.023218910431450284,1.0,0.6735941320293398,0.007243071844257977,0.0035528919915751387,0.011324072129583999,0.004230009387813522
